"location","country_key","country_code","country_name","circuit_key","circuit_short_name","session_type","session_name","date_start","date_end","gmt_offset","session_key","meeting_key","year"
"Melbourne",5,"AUS","Australia",10,"Melbourne","Race","Race","2023-04-02T05:00:00+00:00","2023-04-02T07:00:00+00:00","10:00:00",7787,1143,2023
"Baku",30,"AZE","Azerbaijan",144,"Baku","Practice","Practice 1","2023-04-28T09:30:00+00:00","2023-04-28T10:30:00+00:00","04:00:00",9063,1207,2023
"Baku",30,"AZE","Azerbaijan",144,"Baku","Qualifying","Qualifying","2023-04-28T13:00:00+00:00","2023-04-28T14:00:00+00:00","04:00:00",9064,1207,2023
"Baku",30,"AZE","Azerbaijan",144,"Baku","Qualifying","Sprint Shootout","2023-04-29T08:30:00+00:00","2023-04-29T09:14:00+00:00","04:00:00",9278,1207,2023
"Baku",30,"AZE","Azerbaijan",144,"Baku","Race","Sprint","2023-04-29T13:30:00+00:00","2023-04-29T14:00:00+00:00","04:00:00",9069,1207,2023
"Baku",30,"AZE","Azerbaijan",144,"Baku","Race","Race","2023-04-30T11:00:00+00:00","2023-04-30T13:00:00+00:00","04:00:00",9070,1207,2023
"Miami",19,"USA","United States",151,"Miami","Practice","Practice 1","2023-05-05T18:00:00+00:00","2023-05-05T19:00:00+00:00","-04:00:00",9071,1208,2023
"Miami",19,"USA","United States",151,"Miami","Practice","Practice 2","2023-05-05T21:30:00+00:00","2023-05-05T22:30:00+00:00","-04:00:00",9072,1208,2023
"Miami",19,"USA","United States",151,"Miami","Practice","Practice 3","2023-05-06T16:30:00+00:00","2023-05-06T17:30:00+00:00","-04:00:00",9073,1208,2023
"Miami",19,"USA","United States",151,"Miami","Qualifying","Qualifying","2023-05-06T20:00:00+00:00","2023-05-06T21:00:00+00:00","-04:00:00",9074,1208,2023
"Miami",19,"USA","United States",151,"Miami","Race","Race","2023-05-07T19:30:00+00:00","2023-05-07T21:30:00+00:00","-04:00:00",9078,1208,2023
"Monaco",114,"MON","Monaco",22,"Monte Carlo","Practice","Practice 1","2023-05-26T11:30:00+00:00","2023-05-26T12:30:00+00:00","02:00:00",9087,1210,2023
"Monaco",114,"MON","Monaco",22,"Monte Carlo","Practice","Practice 2","2023-05-26T15:00:00+00:00","2023-05-26T16:00:00+00:00","02:00:00",9088,1210,2023
"Monaco",114,"MON","Monaco",22,"Monte Carlo","Practice","Practice 3","2023-05-27T10:30:00+00:00","2023-05-27T11:30:00+00:00","02:00:00",9089,1210,2023
"Monaco",114,"MON","Monaco",22,"Monte Carlo","Qualifying","Qualifying","2023-05-27T14:00:00+00:00","2023-05-27T15:00:00+00:00","02:00:00",9090,1210,2023
"Monaco",114,"MON","Monaco",22,"Monte Carlo","Race","Race","2023-05-28T13:00:00+00:00","2023-05-28T15:00:00+00:00","02:00:00",9094,1210,2023
"Barcelona",1,"ESP","Spain",15,"Catalunya","Practice","Practice 1","2023-06-02T11:30:00+00:00","2023-06-02T12:30:00+00:00","02:00:00",9095,1211,2023
"Barcelona",1,"ESP","Spain",15,"Catalunya","Practice","Practice 2","2023-06-02T15:00:00+00:00","2023-06-02T16:00:00+00:00","02:00:00",9096,1211,2023
"Barcelona",1,"ESP","Spain",15,"Catalunya","Practice","Practice 3","2023-06-03T10:30:00+00:00","2023-06-03T11:30:00+00:00","02:00:00",9097,1211,2023
"Barcelona",1,"ESP","Spain",15,"Catalunya","Qualifying","Qualifying","2023-06-03T14:00:00+00:00","2023-06-03T15:00:00+00:00","02:00:00",9098,1211,2023
"Barcelona",1,"ESP","Spain",15,"Catalunya","Race","Race","2023-06-04T13:00:00+00:00","2023-06-04T15:00:00+00:00","02:00:00",9102,1211,2023
"Montréal",46,"CAN","Canada",23,"Montreal","Practice","Practice 1","2023-06-16T17:30:00+00:00","2023-06-16T18:30:00+00:00","-04:00:00",9103,1212,2023
"Montréal",46,"CAN","Canada",23,"Montreal","Practice","Practice 2","2023-06-16T20:30:00+00:00","2023-06-16T22:00:00+00:00","-04:00:00",9104,1212,2023
"Montréal",46,"CAN","Canada",23,"Montreal","Practice","Practice 3","2023-06-17T16:30:00+00:00","2023-06-17T17:30:00+00:00","-04:00:00",9105,1212,2023
"Montréal",46,"CAN","Canada",23,"Montreal","Qualifying","Qualifying","2023-06-17T20:00:00+00:00","2023-06-17T21:00:00+00:00","-04:00:00",9106,1212,2023
"Montréal",46,"CAN","Canada",23,"Montreal","Race","Race","2023-06-18T18:00:00+00:00","2023-06-18T20:00:00+00:00","-04:00:00",9110,1212,2023
"Spielberg",17,"AUT","Austria",19,"Spielberg","Qualifying","Qualifying","2023-06-30T15:00:00+00:00","2023-06-30T16:00:00+00:00","02:00:00",9112,1213,2023
"Spielberg",17,"AUT","Austria",19,"Spielberg","Qualifying","Sprint Shootout","2023-07-01T10:00:00+00:00","2023-07-01T10:44:00+00:00","02:00:00",9282,1213,2023
"Spielberg",17,"AUT","Austria",19,"Spielberg","Race","Sprint","2023-07-01T14:30:00+00:00","2023-07-01T15:00:00+00:00","02:00:00",9117,1213,2023
"Spielberg",17,"AUT","Austria",19,"Spielberg","Race","Race","2023-07-02T13:00:00+00:00","2023-07-02T15:00:00+00:00","02:00:00",9118,1213,2023
"Silverstone",2,"GBR","Great Britain",2,"Silverstone","Practice","Practice 1","2023-07-07T11:30:00+00:00","2023-07-07T12:30:00+00:00","01:00:00",9119,1214,2023
"Silverstone",2,"GBR","Great Britain",2,"Silverstone","Practice","Practice 2","2023-07-07T15:00:00+00:00","2023-07-07T16:00:00+00:00","01:00:00",9120,1214,2023
"Silverstone",2,"GBR","Great Britain",2,"Silverstone","Practice","Practice 3","2023-07-08T10:30:00+00:00","2023-07-08T11:30:00+00:00","01:00:00",9121,1214,2023
"Silverstone",2,"GBR","Great Britain",2,"Silverstone","Qualifying","Qualifying","2023-07-08T14:00:00+00:00","2023-07-08T15:00:00+00:00","01:00:00",9122,1214,2023
"Silverstone",2,"GBR","Great Britain",2,"Silverstone","Race","Race","2023-07-09T14:00:00+00:00","2023-07-09T16:00:00+00:00","01:00:00",9126,1214,2023
"Budapest",14,"HUN","Hungary",4,"Hungaroring","Practice","Practice 1","2023-07-21T11:30:00+00:00","2023-07-21T12:30:00+00:00","02:00:00",9223,1215,2023
"Budapest",14,"HUN","Hungary",4,"Hungaroring","Practice","Practice 2","2023-07-21T15:00:00+00:00","2023-07-21T16:00:00+00:00","02:00:00",9127,1215,2023
"Budapest",14,"HUN","Hungary",4,"Hungaroring","Practice","Practice 3","2023-07-22T10:30:00+00:00","2023-07-22T11:30:00+00:00","02:00:00",9128,1215,2023
"Budapest",14,"HUN","Hungary",4,"Hungaroring","Qualifying","Qualifying","2023-07-22T14:00:00+00:00","2023-07-22T15:00:00+00:00","02:00:00",9129,1215,2023
"Budapest",14,"HUN","Hungary",4,"Hungaroring","Race","Race","2023-07-23T13:00:00+00:00","2023-07-23T15:00:00+00:00","02:00:00",9133,1215,2023
"Spa-Francorchamps",16,"BEL","Belgium",7,"Spa-Francorchamps","Practice","Practice 1","2023-07-28T11:30:00+00:00","2023-07-28T12:30:00+00:00","02:00:00",9134,1216,2023
"Spa-Francorchamps",16,"BEL","Belgium",7,"Spa-Francorchamps","Qualifying","Qualifying","2023-07-28T15:00:00+00:00","2023-07-28T16:00:00+00:00","02:00:00",9135,1216,2023
"Spa-Francorchamps",16,"BEL","Belgium",7,"Spa-Francorchamps","Qualifying","Sprint Shootout","2023-07-29T10:00:00+00:00","2023-07-29T10:44:00+00:00","02:00:00",9286,1216,2023
"Spa-Francorchamps",16,"BEL","Belgium",7,"Spa-Francorchamps","Race","Sprint","2023-07-29T15:05:00+00:00","2023-07-29T15:35:00+00:00","02:00:00",9140,1216,2023
"Spa-Francorchamps",16,"BEL","Belgium",7,"Spa-Francorchamps","Race","Race","2023-07-30T13:00:00+00:00","2023-07-30T15:00:00+00:00","02:00:00",9141,1216,2023
"Zandvoort",133,"NED","Netherlands",55,"Zandvoort","Practice","Practice 1","2023-08-25T10:30:00+00:00","2023-08-25T11:30:00+00:00","02:00:00",9142,1217,2023
"Zandvoort",133,"NED","Netherlands",55,"Zandvoort","Practice","Practice 2","2023-08-25T14:00:00+00:00","2023-08-25T15:00:00+00:00","02:00:00",9143,1217,2023
"Zandvoort",133,"NED","Netherlands",55,"Zandvoort","Practice","Practice 3","2023-08-26T09:30:00+00:00","2023-08-26T10:30:00+00:00","02:00:00",9144,1217,2023
"Zandvoort",133,"NED","Netherlands",55,"Zandvoort","Qualifying","Qualifying","2023-08-26T13:00:00+00:00","2023-08-26T14:00:00+00:00","02:00:00",9145,1217,2023
"Zandvoort",133,"NED","Netherlands",55,"Zandvoort","Race","Race","2023-08-27T13:00:00+00:00","2023-08-27T15:00:00+00:00","02:00:00",9149,1217,2023
"Monza",13,"ITA","Italy",39,"Monza","Practice","Practice 1","2023-09-01T11:30:00+00:00","2023-09-01T12:30:00+00:00","02:00:00",9150,1218,2023
"Monza",13,"ITA","Italy",39,"Monza","Practice","Practice 2","2023-09-01T15:00:00+00:00","2023-09-01T16:00:00+00:00","02:00:00",9151,1218,2023
"Monza",13,"ITA","Italy",39,"Monza","Practice","Practice 3","2023-09-02T10:30:00+00:00","2023-09-02T11:30:00+00:00","02:00:00",9152,1218,2023
"Monza",13,"ITA","Italy",39,"Monza","Qualifying","Qualifying","2023-09-02T14:00:00+00:00","2023-09-02T15:00:00+00:00","02:00:00",9153,1218,2023
"Monza",13,"ITA","Italy",39,"Monza","Race","Race","2023-09-03T13:00:00+00:00","2023-09-03T15:00:00+00:00","02:00:00",9157,1218,2023
"Marina Bay",157,"SGP","Singapore",61,"Singapore","Practice","Practice 1","2023-09-15T09:30:00+00:00","2023-09-15T10:30:00+00:00","08:00:00",9158,1219,2023
"Marina Bay",157,"SGP","Singapore",61,"Singapore","Practice","Practice 2","2023-09-15T13:00:00+00:00","2023-09-15T14:00:00+00:00","08:00:00",9159,1219,2023
"Marina Bay",157,"SGP","Singapore",61,"Singapore","Practice","Practice 3","2023-09-16T09:30:00+00:00","2023-09-16T10:30:00+00:00","08:00:00",9160,1219,2023
"Marina Bay",157,"SGP","Singapore",61,"Singapore","Qualifying","Qualifying","2023-09-16T13:00:00+00:00","2023-09-16T14:00:00+00:00","08:00:00",9161,1219,2023
"Marina Bay",157,"SGP","Singapore",61,"Singapore","Race","Race","2023-09-17T12:00:00+00:00","2023-09-17T14:00:00+00:00","08:00:00",9165,1219,2023
"Suzuka",4,"JPN","Japan",46,"Suzuka","Practice","Practice 1","2023-09-22T02:30:00+00:00","2023-09-22T03:30:00+00:00","09:00:00",9166,1220,2023
"Suzuka",4,"JPN","Japan",46,"Suzuka","Practice","Practice 2","2023-09-22T06:00:00+00:00","2023-09-22T07:00:00+00:00","09:00:00",9167,1220,2023
"Suzuka",4,"JPN","Japan",46,"Suzuka","Practice","Practice 3","2023-09-23T02:30:00+00:00","2023-09-23T03:30:00+00:00","09:00:00",9168,1220,2023
"Suzuka",4,"JPN","Japan",46,"Suzuka","Qualifying","Qualifying","2023-09-23T06:00:00+00:00","2023-09-23T07:00:00+00:00","09:00:00",9169,1220,2023
"Suzuka",4,"JPN","Japan",46,"Suzuka","Race","Race","2023-09-24T05:00:00+00:00","2023-09-24T07:00:00+00:00","09:00:00",9173,1220,2023
"Lusail",149,"QAT","Qatar",150,"Lusail","Practice","Practice 1","2023-10-06T13:30:00+00:00","2023-10-06T14:30:00+00:00","03:00:00",9214,1221,2023
"Lusail",149,"QAT","Qatar",150,"Lusail","Qualifying","Qualifying","2023-10-06T17:00:00+00:00","2023-10-06T18:00:00+00:00","03:00:00",9215,1221,2023
"Lusail",149,"QAT","Qatar",150,"Lusail","Qualifying","Sprint Shootout","2023-10-07T13:20:00+00:00","2023-10-07T14:04:00+00:00","03:00:00",9298,1221,2023
"Lusail",149,"QAT","Qatar",150,"Lusail","Race","Sprint","2023-10-07T17:30:00+00:00","2023-10-07T18:30:00+00:00","03:00:00",9220,1221,2023
"Lusail",149,"QAT","Qatar",150,"Lusail","Race","Race","2023-10-08T17:00:00+00:00","2023-10-08T19:00:00+00:00","03:00:00",9221,1221,2023
"Austin",19,"USA","United States",9,"Austin","Practice","Practice 1","2023-10-20T17:30:00+00:00","2023-10-20T18:30:00+00:00","-05:00:00",9206,1222,2023
"Austin",19,"USA","United States",9,"Austin","Qualifying","Qualifying","2023-10-20T21:00:00+00:00","2023-10-20T22:00:00+00:00","-05:00:00",9207,1222,2023
"Austin",19,"USA","United States",9,"Austin","Qualifying","Sprint Shootout","2023-10-21T17:30:00+00:00","2023-10-21T18:14:00+00:00","-05:00:00",9294,1222,2023
"Austin",19,"USA","United States",9,"Austin","Race","Sprint","2023-10-21T22:00:00+00:00","2023-10-21T23:00:00+00:00","-05:00:00",9212,1222,2023
"Austin",19,"USA","United States",9,"Austin","Race","Race","2023-10-22T19:00:00+00:00","2023-10-22T21:00:00+00:00","-05:00:00",9213,1222,2023
"Mexico City",8,"MEX","Mexico",65,"Mexico City","Practice","Practice 1","2023-10-27T18:30:00+00:00","2023-10-27T19:30:00+00:00","-06:00:00",9174,1223,2023
"Mexico City",8,"MEX","Mexico",65,"Mexico City","Practice","Practice 2","2023-10-27T22:00:00+00:00","2023-10-27T23:00:00+00:00","-06:00:00",9175,1223,2023
"Mexico City",8,"MEX","Mexico",65,"Mexico City","Practice","Practice 3","2023-10-28T17:30:00+00:00","2023-10-28T18:30:00+00:00","-06:00:00",9176,1223,2023
"Mexico City",8,"MEX","Mexico",65,"Mexico City","Qualifying","Qualifying","2023-10-28T21:00:00+00:00","2023-10-28T22:00:00+00:00","-06:00:00",9177,1223,2023
"Mexico City",8,"MEX","Mexico",65,"Mexico City","Race","Race","2023-10-29T20:00:00+00:00","2023-10-29T22:00:00+00:00","-06:00:00",9181,1223,2023
"São Paulo",10,"BRA","Brazil",14,"Interlagos","Practice","Practice 1","2023-11-03T14:30:00+00:00","2023-11-03T15:30:00+00:00","-03:00:00",9198,1224,2023
"São Paulo",10,"BRA","Brazil",14,"Interlagos","Qualifying","Qualifying","2023-11-03T18:00:00+00:00","2023-11-03T19:00:00+00:00","-03:00:00",9304,1224,2023
"São Paulo",10,"BRA","Brazil",14,"Interlagos","Qualifying","Sprint Shootout","2023-11-04T14:00:00+00:00","2023-11-04T14:44:00+00:00","-03:00:00",9308,1224,2023
"São Paulo",10,"BRA","Brazil",14,"Interlagos","Race","Sprint","2023-11-04T18:30:00+00:00","2023-11-04T19:00:00+00:00","-03:00:00",9204,1224,2023
"São Paulo",10,"BRA","Brazil",14,"Interlagos","Race","Race","2023-11-05T17:00:00+00:00","2023-11-05T19:00:00+00:00","-03:00:00",9205,1224,2023
"Las Vegas",19,"USA","United States",152,"Las Vegas","Practice","Practice 1","2023-11-17T04:30:00+00:00","2023-11-17T05:30:00+00:00","-08:00:00",9182,1225,2023
"Las Vegas",19,"USA","United States",152,"Las Vegas","Practice","Practice 2","2023-11-17T10:00:00+00:00","2023-11-17T11:30:00+00:00","-08:00:00",9183,1225,2023
"Las Vegas",19,"USA","United States",152,"Las Vegas","Practice","Practice 3","2023-11-18T04:30:00+00:00","2023-11-18T05:30:00+00:00","-08:00:00",9184,1225,2023
"Las Vegas",19,"USA","United States",152,"Las Vegas","Qualifying","Qualifying","2023-11-18T08:00:00+00:00","2023-11-18T09:00:00+00:00","-08:00:00",9314,1225,2023
"Las Vegas",19,"USA","United States",152,"Las Vegas","Race","Race","2023-11-19T06:00:00+00:00","2023-11-19T08:00:00+00:00","-08:00:00",9189,1225,2023
"Yas Island",21,"UAE","United Arab Emirates",70,"Yas Marina Circuit","Practice","Practice 1","2023-11-24T09:30:00+00:00","2023-11-24T10:30:00+00:00","04:00:00",9190,1226,2023
"Yas Island",21,"UAE","United Arab Emirates",70,"Yas Marina Circuit","Practice","Practice 2","2023-11-24T13:00:00+00:00","2023-11-24T14:00:00+00:00","04:00:00",9191,1226,2023
"Yas Island",21,"UAE","United Arab Emirates",70,"Yas Marina Circuit","Practice","Practice 3","2023-11-25T10:30:00+00:00","2023-11-25T11:30:00+00:00","04:00:00",9192,1226,2023
"Yas Island",21,"UAE","United Arab Emirates",70,"Yas Marina Circuit","Qualifying","Qualifying","2023-11-25T14:00:00+00:00","2023-11-25T15:00:00+00:00","04:00:00",9193,1226,2023
"Yas Island",21,"UAE","United Arab Emirates",70,"Yas Marina Circuit","Race","Race","2023-11-26T13:00:00+00:00","2023-11-26T15:00:00+00:00","04:00:00",9197,1226,2023
