"session_key","session_name","date_start","date_end","gmt_offset","session_type","meeting_key","location","country_key","country_code","country_name","circuit_key","circuit_short_name","year"
9527,"Qualifying","2024-06-08T20:00:00+00:00","2024-06-08T21:00:00+00:00","-04:00:00","Qualifying",1237,"Montréal",46,"CAN","Canada",23,"Montreal",2024
9531,"Race","2024-06-09T18:00:00+00:00","2024-06-09T20:00:00+00:00","-04:00:00","Race",1237,"Montréal",46,"CAN","Canada",23,"Montreal",2024
9532,"Practice 1","2024-06-21T11:30:00+00:00","2024-06-21T12:30:00+00:00","02:00:00","Practice",1238,"Barcelona",1,"ESP","Spain",15,"Catalunya",2024
9533,"Practice 2","2024-06-21T15:00:00+00:00","2024-06-21T16:00:00+00:00","02:00:00","Practice",1238,"Barcelona",1,"ESP","Spain",15,"Catalunya",2024
9534,"Practice 3","2024-06-22T10:30:00+00:00","2024-06-22T11:30:00+00:00","02:00:00","Practice",1238,"Barcelona",1,"ESP","Spain",15,"Catalunya",2024
9535,"Qualifying","2024-06-22T14:00:00+00:00","2024-06-22T15:00:00+00:00","02:00:00","Qualifying",1238,"Barcelona",1,"ESP","Spain",15,"Catalunya",2024
9539,"Race","2024-06-23T13:00:00+00:00","2024-06-23T15:00:00+00:00","02:00:00","Race",1238,"Barcelona",1,"ESP","Spain",15,"Catalunya",2024
9540,"Practice 1","2024-06-28T10:30:00+00:00","2024-06-28T11:30:00+00:00","02:00:00","Practice",1239,"Spielberg",17,"AUT","Austria",19,"Spielberg",2024
9545,"Sprint Qualifying","2024-06-28T14:30:00+00:00","2024-06-28T15:14:00+00:00","02:00:00","Qualifying",1239,"Spielberg",17,"AUT","Austria",19,"Spielberg",2024
9549,"Sprint","2024-06-29T10:00:00+00:00","2024-06-29T10:30:00+00:00","02:00:00","Race",1239,"Spielberg",17,"AUT","Austria",19,"Spielberg",2024
9541,"Qualifying","2024-06-29T14:00:00+00:00","2024-06-29T15:00:00+00:00","02:00:00","Qualifying",1239,"Spielberg",17,"AUT","Austria",19,"Spielberg",2024
9550,"Race","2024-06-30T13:00:00+00:00","2024-06-30T15:00:00+00:00","02:00:00","Race",1239,"Spielberg",17,"AUT","Austria",19,"Spielberg",2024
9551,"Practice 1","2024-07-05T11:30:00+00:00","2024-07-05T12:30:00+00:00","01:00:00","Practice",1240,"Silverstone",2,"GBR","Great Britain",2,"Silverstone",2024
9552,"Practice 2","2024-07-05T15:00:00+00:00","2024-07-05T16:00:00+00:00","01:00:00","Practice",1240,"Silverstone",2,"GBR","Great Britain",2,"Silverstone",2024
9553,"Practice 3","2024-07-06T10:30:00+00:00","2024-07-06T11:30:00+00:00","01:00:00","Practice",1240,"Silverstone",2,"GBR","Great Britain",2,"Silverstone",2024
9554,"Qualifying","2024-07-06T14:00:00+00:00","2024-07-06T15:00:00+00:00","01:00:00","Qualifying",1240,"Silverstone",2,"GBR","Great Britain",2,"Silverstone",2024
9558,"Race","2024-07-07T14:00:00+00:00","2024-07-07T16:00:00+00:00","01:00:00","Race",1240,"Silverstone",2,"GBR","Great Britain",2,"Silverstone",2024
9559,"Practice 1","2024-07-19T11:30:00+00:00","2024-07-19T12:30:00+00:00","02:00:00","Practice",1241,"Budapest",14,"HUN","Hungary",4,"Hungaroring",2024
9560,"Practice 2","2024-07-19T15:00:00+00:00","2024-07-19T16:00:00+00:00","02:00:00","Practice",1241,"Budapest",14,"HUN","Hungary",4,"Hungaroring",2024
9561,"Practice 3","2024-07-20T10:30:00+00:00","2024-07-20T11:30:00+00:00","02:00:00","Practice",1241,"Budapest",14,"HUN","Hungary",4,"Hungaroring",2024
9562,"Qualifying","2024-07-20T14:00:00+00:00","2024-07-20T15:00:00+00:00","02:00:00","Qualifying",1241,"Budapest",14,"HUN","Hungary",4,"Hungaroring",2024
9566,"Race","2024-07-21T13:00:00+00:00","2024-07-21T15:00:00+00:00","02:00:00","Race",1241,"Budapest",14,"HUN","Hungary",4,"Hungaroring",2024
9567,"Practice 1","2024-07-26T11:30:00+00:00","2024-07-26T12:30:00+00:00","02:00:00","Practice",1242,"Spa-Francorchamps",16,"BEL","Belgium",7,"Spa-Francorchamps",2024
9568,"Practice 2","2024-07-26T15:00:00+00:00","2024-07-26T16:00:00+00:00","02:00:00","Practice",1242,"Spa-Francorchamps",16,"BEL","Belgium",7,"Spa-Francorchamps",2024
9569,"Practice 3","2024-07-27T10:30:00+00:00","2024-07-27T11:30:00+00:00","02:00:00","Practice",1242,"Spa-Francorchamps",16,"BEL","Belgium",7,"Spa-Francorchamps",2024
9570,"Qualifying","2024-07-27T14:00:00+00:00","2024-07-27T15:00:00+00:00","02:00:00","Qualifying",1242,"Spa-Francorchamps",16,"BEL","Belgium",7,"Spa-Francorchamps",2024
9574,"Race","2024-07-28T13:00:00+00:00","2024-07-28T15:00:00+00:00","02:00:00","Race",1242,"Spa-Francorchamps",16,"BEL","Belgium",7,"Spa-Francorchamps",2024
9575,"Practice 1","2024-08-23T10:30:00+00:00","2024-08-23T11:30:00+00:00","02:00:00","Practice",1243,"Zandvoort",133,"NED","Netherlands",55,"Zandvoort",2024
9576,"Practice 2","2024-08-23T14:00:00+00:00","2024-08-23T15:00:00+00:00","02:00:00","Practice",1243,"Zandvoort",133,"NED","Netherlands",55,"Zandvoort",2024
9577,"Practice 3","2024-08-24T09:30:00+00:00","2024-08-24T10:30:00+00:00","02:00:00","Practice",1243,"Zandvoort",133,"NED","Netherlands",55,"Zandvoort",2024
9578,"Qualifying","2024-08-24T13:00:00+00:00","2024-08-24T14:00:00+00:00","02:00:00","Qualifying",1243,"Zandvoort",133,"NED","Netherlands",55,"Zandvoort",2024
9582,"Race","2024-08-25T13:00:00+00:00","2024-08-25T15:00:00+00:00","02:00:00","Race",1243,"Zandvoort",133,"NED","Netherlands",55,"Zandvoort",2024
9583,"Practice 1","2024-08-30T11:30:00+00:00","2024-08-30T12:30:00+00:00","02:00:00","Practice",1244,"Monza",13,"ITA","Italy",39,"Monza",2024
9584,"Practice 2","2024-08-30T15:00:00+00:00","2024-08-30T16:00:00+00:00","02:00:00","Practice",1244,"Monza",13,"ITA","Italy",39,"Monza",2024
9585,"Practice 3","2024-08-31T10:30:00+00:00","2024-08-31T11:30:00+00:00","02:00:00","Practice",1244,"Monza",13,"ITA","Italy",39,"Monza",2024
9586,"Qualifying","2024-08-31T14:00:00+00:00","2024-08-31T15:00:00+00:00","02:00:00","Qualifying",1244,"Monza",13,"ITA","Italy",39,"Monza",2024
9590,"Race","2024-09-01T13:00:00+00:00","2024-09-01T15:00:00+00:00","02:00:00","Race",1244,"Monza",13,"ITA","Italy",39,"Monza",2024
9591,"Practice 1","2024-09-13T09:30:00+00:00","2024-09-13T10:30:00+00:00","04:00:00","Practice",1245,"Baku",30,"AZE","Azerbaijan",144,"Baku",2024
9592,"Practice 2","2024-09-13T13:00:00+00:00","2024-09-13T14:00:00+00:00","04:00:00","Practice",1245,"Baku",30,"AZE","Azerbaijan",144,"Baku",2024
9593,"Practice 3","2024-09-14T08:30:00+00:00","2024-09-14T09:30:00+00:00","04:00:00","Practice",1245,"Baku",30,"AZE","Azerbaijan",144,"Baku",2024
9594,"Qualifying","2024-09-14T12:00:00+00:00","2024-09-14T13:00:00+00:00","04:00:00","Qualifying",1245,"Baku",30,"AZE","Azerbaijan",144,"Baku",2024
9598,"Race","2024-09-15T11:00:00+00:00","2024-09-15T13:00:00+00:00","04:00:00","Race",1245,"Baku",30,"AZE","Azerbaijan",144,"Baku",2024
9599,"Practice 1","2024-09-20T09:30:00+00:00","2024-09-20T10:30:00+00:00","08:00:00","Practice",1246,"Marina Bay",157,"SGP","Singapore",61,"Singapore",2024
9600,"Practice 2","2024-09-20T13:00:00+00:00","2024-09-20T14:00:00+00:00","08:00:00","Practice",1246,"Marina Bay",157,"SGP","Singapore",61,"Singapore",2024
9601,"Practice 3","2024-09-21T09:30:00+00:00","2024-09-21T10:30:00+00:00","08:00:00","Practice",1246,"Marina Bay",157,"SGP","Singapore",61,"Singapore",2024
9602,"Qualifying","2024-09-21T13:00:00+00:00","2024-09-21T14:00:00+00:00","08:00:00","Qualifying",1246,"Marina Bay",157,"SGP","Singapore",61,"Singapore",2024
9606,"Race","2024-09-22T12:00:00+00:00","2024-09-22T14:00:00+00:00","08:00:00","Race",1246,"Marina Bay",157,"SGP","Singapore",61,"Singapore",2024
9607,"Practice 1","2024-10-18T17:30:00+00:00","2024-10-18T18:30:00+00:00","-05:00:00","Practice",1247,"Austin",19,"USA","United States",9,"Austin",2024
9612,"Sprint Qualifying","2024-10-18T21:30:00+00:00","2024-10-18T22:14:00+00:00","-05:00:00","Qualifying",1247,"Austin",19,"USA","United States",9,"Austin",2024
9616,"Sprint","2024-10-19T18:00:00+00:00","2024-10-19T19:00:00+00:00","-05:00:00","Race",1247,"Austin",19,"USA","United States",9,"Austin",2024
9608,"Qualifying","2024-10-19T22:00:00+00:00","2024-10-19T23:00:00+00:00","-05:00:00","Qualifying",1247,"Austin",19,"USA","United States",9,"Austin",2024
9617,"Race","2024-10-20T19:00:00+00:00","2024-10-20T21:00:00+00:00","-05:00:00","Race",1247,"Austin",19,"USA","United States",9,"Austin",2024
9618,"Practice 1","2024-10-25T18:30:00+00:00","2024-10-25T19:30:00+00:00","-06:00:00","Practice",1248,"Mexico City",8,"MEX","Mexico",65,"Mexico City",2024
9619,"Practice 2","2024-10-25T22:00:00+00:00","2024-10-25T23:00:00+00:00","-06:00:00","Practice",1248,"Mexico City",8,"MEX","Mexico",65,"Mexico City",2024
9620,"Practice 3","2024-10-26T17:30:00+00:00","2024-10-26T18:30:00+00:00","-06:00:00","Practice",1248,"Mexico City",8,"MEX","Mexico",65,"Mexico City",2024
9621,"Qualifying","2024-10-26T21:00:00+00:00","2024-10-26T22:00:00+00:00","-06:00:00","Qualifying",1248,"Mexico City",8,"MEX","Mexico",65,"Mexico City",2024
9625,"Race","2024-10-27T20:00:00+00:00","2024-10-27T22:00:00+00:00","-06:00:00","Race",1248,"Mexico City",8,"MEX","Mexico",65,"Mexico City",2024
9626,"Practice 1","2024-11-01T14:30:00+00:00","2024-11-01T15:30:00+00:00","-03:00:00","Practice",1249,"São Paulo",10,"BRA","Brazil",14,"Interlagos",2024
9631,"Sprint Qualifying","2024-11-01T18:30:00+00:00","2024-11-01T19:14:00+00:00","-03:00:00","Qualifying",1249,"São Paulo",10,"BRA","Brazil",14,"Interlagos",2024
9635,"Sprint","2024-11-02T14:00:00+00:00","2024-11-02T15:00:00+00:00","-03:00:00","Race",1249,"São Paulo",10,"BRA","Brazil",14,"Interlagos",2024
9627,"Qualifying","2024-11-02T18:00:00+00:00","2024-11-02T19:00:00+00:00","-03:00:00","Qualifying",1249,"São Paulo",10,"BRA","Brazil",14,"Interlagos",2024
9636,"Race","2024-11-03T15:30:00+00:00","2024-11-03T17:30:00+00:00","-03:00:00","Race",1249,"São Paulo",10,"BRA","Brazil",14,"Interlagos",2024
9637,"Practice 1","2024-11-22T02:30:00+00:00","2024-11-22T03:30:00+00:00","-08:00:00","Practice",1250,"Las Vegas",19,"USA","United States",152,"Las Vegas",2024
9638,"Practice 2","2024-11-22T06:00:00+00:00","2024-11-22T07:00:00+00:00","-08:00:00","Practice",1250,"Las Vegas",19,"USA","United States",152,"Las Vegas",2024
9639,"Practice 3","2024-11-23T02:30:00+00:00","2024-11-23T03:30:00+00:00","-08:00:00","Practice",1250,"Las Vegas",19,"USA","United States",152,"Las Vegas",2024
9640,"Qualifying","2024-11-23T06:00:00+00:00","2024-11-23T07:00:00+00:00","-08:00:00","Qualifying",1250,"Las Vegas",19,"USA","United States",152,"Las Vegas",2024
9644,"Race","2024-11-24T06:00:00+00:00","2024-11-24T08:00:00+00:00","-08:00:00","Race",1250,"Las Vegas",19,"USA","United States",152,"Las Vegas",2024
9645,"Practice 1","2024-11-29T13:30:00+00:00","2024-11-29T14:30:00+00:00","03:00:00","Practice",1251,"Lusail",149,"QAT","Qatar",150,"Lusail",2024
9650,"Sprint Qualifying","2024-11-29T17:30:00+00:00","2024-11-29T18:14:00+00:00","03:00:00","Qualifying",1251,"Lusail",149,"QAT","Qatar",150,"Lusail",2024
9654,"Sprint","2024-11-30T14:00:00+00:00","2024-11-30T15:00:00+00:00","03:00:00","Race",1251,"Lusail",149,"QAT","Qatar",150,"Lusail",2024
9646,"Qualifying","2024-11-30T18:00:00+00:00","2024-11-30T19:00:00+00:00","03:00:00","Qualifying",1251,"Lusail",149,"QAT","Qatar",150,"Lusail",2024
9655,"Race","2024-12-01T16:00:00+00:00","2024-12-01T18:00:00+00:00","03:00:00","Race",1251,"Lusail",149,"QAT","Qatar",150,"Lusail",2024
9461,"Practice 1","2024-12-06T09:30:00+00:00","2024-12-06T10:30:00+00:00","04:00:00","Practice",1252,"Yas Island",21,"UAE","United Arab Emirates",70,"Yas Marina Circuit",2024
9656,"Practice 2","2024-12-06T13:00:00+00:00","2024-12-06T14:00:00+00:00","04:00:00","Practice",1252,"Yas Island",21,"UAE","United Arab Emirates",70,"Yas Marina Circuit",2024
9657,"Practice 3","2024-12-07T10:30:00+00:00","2024-12-07T11:30:00+00:00","04:00:00","Practice",1252,"Yas Island",21,"UAE","United Arab Emirates",70,"Yas Marina Circuit",2024
9658,"Qualifying","2024-12-07T14:00:00+00:00","2024-12-07T15:00:00+00:00","04:00:00","Qualifying",1252,"Yas Island",21,"UAE","United Arab Emirates",70,"Yas Marina Circuit",2024
9662,"Race","2024-12-08T13:00:00+00:00","2024-12-08T15:00:00+00:00","04:00:00","Race",1252,"Yas Island",21,"UAE","United Arab Emirates",70,"Yas Marina Circuit",2024
